Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;GDP Constant Prices;1984-06-30T00:00:00;7617.547;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1984-09-30T00:00:00;7690.985;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1984-12-31T00:00:00;7754.117;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1985-03-31T00:00:00;7829.26;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1985-06-30T00:00:00;7898.194;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1985-09-30T00:00:00;8018.809;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1985-12-31T00:00:00;8078.415;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1986-03-31T00:00:00;8153.829;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1986-06-30T00:00:00;8190.552;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1986-09-30T00:00:00;8268.935;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1986-12-31T00:00:00;8313.338;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1987-03-31T00:00:00;8375.274;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1987-06-30T00:00:00;8465.63;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1987-09-30T00:00:00;8539.075;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1987-12-31T00:00:00;8685.694;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1988-03-31T00:00:00;8730.569;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
